"","status","country","project_name","unit_name","capacity_(mw)","technology","start_year","operator","owner","lat","lng","location_accuracy","major_area_(prefecture,_district)","state/province","subregion","region","gem_location_id","gem_unit_id","other_ids_(location)","other_ids_(unit/phase)","url"
"78","operating","Mexico","Cerro Prieto 4 geothermal power plant","10","25.0","flash steam - double","2000.0","Comision Federal De Electricidad","Comision Federal De Electricidad","32.3916","-115.2252","exact","","Baja California","Latin America and the Caribbean","Americas","L100000700221","G100000700392","World Resources Institute: Mex0001868, WEPP (S&P Global Platts): 1013029","","https://gem.wiki/Cerro_Prieto_4_geothermal_power_plant"
"79","operating","Mexico","Cerro Prieto 4 geothermal power plant","11","25.0","flash steam - double","2000.0","Comision Federal De Electricidad","Comision Federal De Electricidad","32.3916","-115.2252","exact","","Baja California","Latin America and the Caribbean","Americas","L100000700221","G100000700393","World Resources Institute: Mex0001868, WEPP (S&P Global Platts): 1013029","","https://gem.wiki/Cerro_Prieto_4_geothermal_power_plant"
"80","operating","Mexico","Cerro Prieto 4 geothermal power plant","12","25.0","flash steam - double","2000.0","Comision Federal De Electricidad","Comision Federal De Electricidad","32.3916","-115.2252","exact","","Baja California","Latin America and the Caribbean","Americas","L100000700221","G100000700394","World Resources Institute: Mex0001868, WEPP (S&P Global Platts): 1013029","","https://gem.wiki/Cerro_Prieto_4_geothermal_power_plant"
"81","operating","Mexico","Cerro Prieto 4 geothermal power plant","13","25.0","flash steam - double","2000.0","Comision Federal De Electricidad","Comision Federal De Electricidad","32.3916","-115.2252","exact","","Baja California","Latin America and the Caribbean","Americas","L100000700221","G100000700395","World Resources Institute: Mex0001868, WEPP (S&P Global Platts): 1013029","","https://gem.wiki/Cerro_Prieto_4_geothermal_power_plant"
"82","operating","Mexico","Cerro Prieto 5 geothermal power plant","10","50.0","flash steam - double","2012.0","Comision Federal De Electricidad","Comision Federal De Electricidad","32.3916937","-115.2691486","exact","Ejido Hidalgo","Baja California","Latin America and the Caribbean","Americas","L100000700030","G100000700047","","","https://gem.wiki/Cerro_Prieto_5_geothermal_power_plant"
"83","operating","Mexico","Cerro Prieto 5 geothermal power plant","11","50.0","flash steam - double","2012.0","Comision Federal De Electricidad","Comision Federal De Electricidad","32.3916937","-115.2691486","exact","Ejido Hidalgo","Baja California","Latin America and the Caribbean","Americas","L100000700030","G100000700048","","","https://gem.wiki/Cerro_Prieto_5_geothermal_power_plant"
"84","operating","United States","CE Turbo geothermal power plant","TG21","12.0","unknown type","2000.0","","CalEnergy Operating CORP [100%]","33.1669","-115.5114","exact","","California","Northern America","Americas","L100000700259","G100000700472","EIA: 55984","","https://gem.wiki/CE_Turbo_geothermal_power_plant"
"85","pre-construction","Ecuador","Chachimbiro geothermal power plant","--","50.0","unknown type","2026.0","Corporación Eléctrica del Ecuador (CELEC EP)","Corporación Eléctrica del Ecuador (CELEC EP) [100%]","0.4599","-78.2364","approximate","Imbabura","Urcuquí","Latin America and the Caribbean","Americas","L100000700031","G100000700049","WEPP (S&P Global Platts): 1085471","WEPP (S&P Global Platts): 1231977","https://gem.wiki/Chachimbiro_geothermal_power_plant"
"86","construction","El Salvador","Chinameca geothermal power plant","1","20.0","unknown type","2025.0","LaGeo","LaGeo [100%]","13.513","-88.3493","approximate","Chinameca","San Miguel","Latin America and the Caribbean","Americas","L100000700032","G100000700050","","","https://gem.wiki/Chinameca_geothermal_power_plant"
"87","construction","El Salvador","Chinameca geothermal power plant","Expansion","17.0","unknown type","2026.0","","","13.513","-88.3493","approximate","Chinameca","San Miguel","Latin America and the Caribbean","Americas","L100000700032","G100000700334","","","https://gem.wiki/Chinameca_geothermal_power_plant"
"88","shelved","United States","Churchill Valley geothermal power plant","--","115.0","unknown type","","","East Bay Community Energy (EBCE) [100%]","39.5322","-118.2545","approximate","","Nevada","Northern America","Americas","L100000700260","G100000700473","","","https://gem.wiki/Churchill_Valley_geothermal_power_plant"
"89","operating","United States","Cobb Creek geothermal plant","12","110.0","dry steam","1979.0","Geysers Power Co LLC","Calpine CORP [100%]","38.777","-122.745","exact","","California","Northern America","Americas","L100000700033","G100000700051","WEPP (S&P Global Platts): 29381, EIA: 286, World Resources Institute: USA0000286","WEPP (S&P Global Platts): 7522","https://gem.wiki/Cobb_Creek_geothermal_plant"
"90","pre-construction","Ethiopia","Corbetti geothermal power plant","1","50.0","unknown type","2027.0","Corbetti Geothermal","Berkeley Energy [33%]; Reykjavik Geothermal [33%]; InfraCo Africa [33%]","7.1819","38.4371","approximate","Shashamane","Oromiya","Sub-Saharan Africa","Africa","L100000700034","G100000700052","WEPP (S&P Global Platts): 1099686","WEPP (S&P Global Platts): 1255777","https://gem.wiki/Corbetti_geothermal_power_plant"
"91","pre-construction","Ethiopia","Corbetti geothermal power plant","2","100.0","unknown type","","Corbetti Geothermal","Berkeley Energy [33%]; Reykjavik Geothermal [33%]; InfraCo Africa [33%]","7.1819","38.4371","approximate","Shashamane","Oromiya","Sub-Saharan Africa","Africa","L100000700034","G100000700053","WEPP (S&P Global Platts): 1099686","WEPP (S&P Global Platts): 1255777","https://gem.wiki/Corbetti_geothermal_power_plant"
"92","operating","United States","Coso BLM geothermal plant","GEN1-3","90.0","flash steam - double","1987.0","Coso Operating Co LLC","Atlantica Sustainable Infrastructure [100%]","36.0372","-117.7981","exact","","California","Northern America","Americas","L100000700035","G100000700054","WEPP (S&P Global Platts): 15300, World Resources Institute: USA0010875, EIA: 10873","WEPP (S&P Global Platts): 4559, WEPP (S&P Global Platts): 4561, WEPP (S&P Global Platts): 4560","https://gem.wiki/Coso_BLM_geothermal_plant"
"93","operating","United States","Cove Fort geothermal power plant","1","12.0","binary cycle","2013.0","","Ormat Technology INC","38.5603","-112.5811","exact","","Utah","Northern America","Americas","L100000700265","G100000700480","EIA: 58570","","https://gem.wiki/Enel_Cove_Fort_geothermal_power_plant"
"94","operating","United States","Cove Fort geothermal power plant","2","12.0","binary cycle","2013.0","","Ormat Technology INC","38.5603","-112.5811","exact","","Utah","Northern America","Americas","L100000700265","G100000700481","EIA: 58570","","https://gem.wiki/Enel_Cove_Fort_geothermal_power_plant"
"95","announced","United States","Cove Fort geothermal power plant","future units","20.0","unknown type","2028.0","","Ormat Technology INC","38.5603","-112.5811","exact","","Utah","Northern America","Americas","L100000700265","G100001005343","EIA: 58570","","https://gem.wiki/Enel_Cove_Fort_geothermal_power_plant"
"96","cancelled","United States","Crump Geyser geothermal plant","--","30.0","unknown type","","","Ormat Technology INC [50%]; Nevada Geothermal Power CO [50%]","42.1774","-119.8986","approximate","","Oregon","Northern America","Americas","L100000700036","G100000700055","WEPP (S&P Global Platts): 54780","WEPP (S&P Global Platts): 31547","https://gem.wiki/Crump_Geyser_geothermal_plant"
"97","announced","Philippines","Daklan geothermal power plant","--","51.0","unknown type","","","Philippine Geothermal Production Company Inc","16.5815472","120.722618","approximate","Benguet","","South-eastern Asia","Asia","L100001004542","G100001005329","","","https://www.gem.wiki/Daklan_geothermal_power_plant"
"98","announced","Indonesia","Danau Ranau geothermal power plant","--","20.0","unknown type","","","PT PLN (Persero) [100%]","-4.9372","103.8672","approximate","South Ogan Komering Ulu","Lampung","South-eastern Asia","Asia","L100000700200","G100000700344","","","https://gem.wiki/Danau_Ranau_geothermal_power_plant"
"99","operating","Indonesia","Darajat geothermal power plant","1","55.0","dry steam","1994.0","","Star Energy Geothermal [100%]","-7.2173","107.7394","exact","Garut Regency","West Java","South-eastern Asia","Asia","L100000700037","G100000700056","World Resources Institute: WRI1000750, WEPP (S&P Global Platts): 1026060, WEPP (S&P Global Platts): 1010126, World Resources Institute: WRI1000751","WEPP (S&P Global Platts): 1111533","https://gem.wiki/Darajat_geothermal_power_plant"
"100","operating","Indonesia","Darajat geothermal power plant","2","90.0","unknown type","2000.0","Star Energy Geothermal","Star Energy Geothermal [100%]","-7.2173","107.7394","exact","Garut Regency","West Java","South-eastern Asia","Asia","L100000700037","G100000700057","World Resources Institute: WRI1000750, WEPP (S&P Global Platts): 1026060, WEPP (S&P Global Platts): 1010126, World Resources Institute: WRI1000751","WEPP (S&P Global Platts): 1111534","https://gem.wiki/Darajat_geothermal_power_plant"
"101","operating","Indonesia","Darajat geothermal power plant","3","121.0","unknown type","2009.0","Star Energy Geothermal","Star Energy Geothermal [100%]","-7.2173","107.7394","exact","Garut Regency","West Java","South-eastern Asia","Asia","L100000700037","G100000700058","World Resources Institute: WRI1000750, WEPP (S&P Global Platts): 1026060, WEPP (S&P Global Platts): 1010126, World Resources Institute: WRI1000751","WEPP (S&P Global Platts): 1111535","https://gem.wiki/Darajat_geothermal_power_plant"
"102","announced","Philippines","Dauin geothermal power plant","--","40.0","unknown type","2025.0","Energy Development CORP (EDC)","Energy Development CORP (EDC) [100%]","9.2304","123.2008","approximate","Dauin","Negros Oriental","South-eastern Asia","Asia","L100000700038","G100000700059","WEPP (S&P Global Platts): 1059314","WEPP (S&P Global Platts): 1189260","https://gem.wiki/Dauin_geothermal_power_plant"
"103","operating","United States","Del Ranch geothermal project","--","46.0","flash steam - double","1988.0","CalEnergy Operating CORP","CalEnergy Operating CORP [100%]","33.1646","-115.616","exact","","California","Northern America","Americas","L100000700039","G100000700060","World Resources Institute: USA0010632, EIA: 10632, WEPP (S&P Global Platts): 15301","WEPP (S&P Global Platts): 5236","https://gem.wiki/Del_Ranch_geothermal_project"
"104","operating","United States","Desert Peak geothermal power plant","GEN2","15.0","binary cycle","2006.0","","Ormat Technology INC [100%]","39.754","-118.9535","exact","","Nevada","Northern America","Americas","L100000700262","G100000700476","EIA: 10018","","https://gem.wiki/Desert_Peak_geothermal_power_plant"
"105","operating","United States","Desert Peak geothermal power plant","OEC2","11.0","binary cycle","2006.0","","Ormat Technology INC [100%]","39.754","-118.9535","exact","","Nevada","Northern America","Americas","L100000700262","G100000700477","EIA: 10018","","https://gem.wiki/Desert_Peak_geothermal_power_plant"
"106","operating","Indonesia","Dieng geothermal power plant","1","60.0","flash steam - single","1998.0","PT Geo Dipa Energi (GDE)","PT Geo Dipa Energi (GDE) [100%]","-7.2261","109.8975","exact","","Central Java","South-eastern Asia","Asia","L100000700040","G100000700061","WEPP (S&P Global Platts): 1018473, World Resources Institute: WRI1000752","WEPP (S&P Global Platts): 1112133","https://gem.wiki/Dieng_geothermal_power_plant"
"107","construction","Indonesia","Dieng geothermal power plant","2","55.0","unknown type","2025.0","PT Geo Dipa Energi (GDE)","PT Geo Dipa Energi (GDE) [100%]","-7.2261","109.8975","exact","","Central Java","South-eastern Asia","Asia","L100000700040","G100000700062","WEPP (S&P Global Platts): 1018473, World Resources Institute: WRI1000752","WEPP (S&P Global Platts): 1112134","https://gem.wiki/Dieng_geothermal_power_plant"
"108","pre-construction","Indonesia","Dieng geothermal power plant","3","55.0","unknown type","2025.0","PT Geo Dipa Energi (GDE)","PT Geo Dipa Energi (GDE) [100%]","-7.2261","109.8975","exact","","Central Java","South-eastern Asia","Asia","L100000700040","G100000700063","WEPP (S&P Global Platts): 1018473, World Resources Institute: WRI1000752","","https://gem.wiki/Dieng_geothermal_power_plant"
"109","announced","Indonesia","Dieng geothermal power plant","Future units","270.0","unknown type","2030.0","PT Geo Dipa Energi (GDE)","PT Geo Dipa Energi (GDE) [100%]","-7.2261","109.8975","exact","","Central Java","South-eastern Asia","Asia","L100000700040","G100000700064","WEPP (S&P Global Platts): 1018473, World Resources Institute: WRI1000752","","https://gem.wiki/Dieng_geothermal_power_plant"
"110","pre-construction","United States","Dixie Meadows 1 Geothermal Development Project","--","12.0","binary cycle","","","Ormat Technology INC [100%]","39.7905","-118.0812","exact","","Nevada","Northern America","Americas","L100000700041","G100000700065","WEPP (S&P Global Platts): 65016","WEPP (S&P Global Platts): 41669","https://gem.wiki/Dixie_Meadows_1_Geothermal_Development_Project"
"111","cancelled","United States","Dixie Meadows 2 Geothermal Development Project","--","30.0","binary cycle","","","Ormat Technology INC [100%]","39.7905","-118.0812","exact","","Nevada","Northern America","Americas","L100000700042","G100000700066","WEPP (S&P Global Platts): 65016","WEPP (S&P Global Platts): 1312874","https://gem.wiki/Dixie_Meadows_2_Geothermal_Development_Project"
"112","pre-construction","United States","D-J Basin geothermal power plant","1","5.0","unknown type","","Geothermal Technologies INC","","40.5953","-104.6008","approximate","","Colorado","Northern America","Americas","L100000700261","G100000700474","","","https://gem.wiki/D-J_Basin_geothermal_power_plant"
"113","announced","United States","D-J Basin geothermal power plant","Future units","395.0","unknown type","","Geothermal Technologies INC","","40.5953","-104.6008","approximate","","Colorado","Northern America","Americas","L100000700261","G100000700475","","","https://gem.wiki/D-J_Basin_geothermal_power_plant"
"114","operating","United States","Don A Campbell 1 geothermal power plant","1","22.0","binary cycle","2014.0","ORNI 47 LLC","","38.8367","-118.3239","exact","","Nevada","Northern America","Americas","L100000700263","G100000700478","EIA: 58533","","https://gem.wiki/Don_A_Campbell_1_geothermal_power_plant"
